state	action
0	0
135	0
263	0
391	0
519	0
647	0
775	0
903	0
1031	0
1158	0
1157	0
1029	0
901	0
773	0
645	0
518	0
517	0
388	0
260	0
132	0
4	0
5	0
6	0
7	0
134	0
256	0
384	0
512	0
640	0
768	0
896	0
1024	0
1152	0
1280	0
1408	0
1536	0
1664	0
1792	0
1921	0
1929	0
1937	0
1944	0
1945	0
1953	0
1961	0
1968	0
1975	0
1967	0
1959	0
1951	0
1943	0
1935	0
1927	0
1926	0
1925	0
1797	0
1669	0
1541	0
1413	0
1285	0
774	0
1159	0
1287	0
1415	0
1543	0
1671	0
1920	0
1946	0
1954	0
1962	0
1970	0
1977	0
1985	0
1993	0
2001	0
2009	0
2017	0
2025	0
2033	0
2041	0
2040	0
2042	0
2043	0
1915	0
1787	0
1658	0
1657	0
1785	0
1912	0
2047	0
2038	0
2031	0
2023	0
2014	0
2006	0
1998	0
1990	0
1982	0
1973	0
1837	0
1701	0
1565	0
1429	0
1293	0
3	0
11	0
19	0
26	0
34	0
42	0
50	0
59	0
67	0
75	0
83	0
92	0
93	0
85	0
76	0
82	0
90	0
97	0
233	0
369	0
505	0
632	0
761	0
890	0
891	0
763	0
635	0
507	0
378	0
377	0
504	0
767	0
887	0
1007	0
1127	0
1247	0
1367	0
1487	0
1607	0
1727	0
1847	0
1978	0
1986	0
1994	0
2002	0
2026	0
2034	0
1659	0
1530	0
1531	0
1403	0
1275	0
1147	0
1019	0
506	0
633	0
888	0
1016	0
1151	0
1271	0
1391	0
1511	0
1631	0
1751	0
1871	0
1984	0
1991	0
1983	0
1928	0
1798	0
1799	0
1668	0
1540	0
1412	0
1284	0
1156	0
1028	0
900	0
771	0
651	0
531	0
411	0
291	0
171	0
51	0
60	0
98	0
106	0
114	0
122	0
121	0
249	0
760	0
1144	0
1272	0
1400	0
1528	0
1656	0
1784	0
2039	0
2015	0
2007	0
1999	0
1950	0
1942	0
1969	0
2018	0
1916	0
1788	0
1660	0
1532	0
1404	0
1276	0
1148	0
1020	0
380	0
252	0
124	0
123	0
125	0
118	0
109	0
101	0
77	0
68	0
69	0
61	0
53	0
45	0
37	0
29	0
21	0
13	0
27	0
58	0
66	0
74	0
81	0
217	0
353	0
490	0
498	0
889	0
1017	0
1145	0
1273	0
1402	0
1401	0
1529	0
1913	0
892	0
765	0
629	0
493	0
357	0
221	0
84	0
1	0
137	0
273	0
409	0
545	0
681	0
817	0
953	0
1089	0
1225	0
1362	0
1370	0
1378	0
1386	0
1394	0
764	0
636	0
508	0
117	0
91	0
100	0
22	0
14	0
1796	0
899	0
779	0
659	0
539	0
419	0
299	0
178	0
186	0
194	0
202	0
211	0
99	0
107	0
115	0
379	0
251	0
895	0
1015	0
1135	0
1254	0
1246	0
1239	0
1359	0
1479	0
1592	0
1720	0
1848	0
1976	0
1670	0
1955	0
1836	0
1708	0
1580	0
1451	0
1331	0
1211	0
1091	0
971	0
851	0
731	0
611	0
491	0
371	0
54	0
46	0
38	0
30	0
262	0
261	0
133	0
1409	0
1545	0
1682	0
1690	0
1698	0
1705	0
1842	0
1849	0
1934	0
772	0
644	0
516	0
1835	0
1715	0
1595	0
1475	0
1354	0
1371	0
1251	0
1131	0
1011	0
36	0
1025	0
1161	0
1297	0
1433	0
1570	0
1577	0
1713	0
1146	0
1974	0
1966	0
1958	0
1941	0
1805	0
1542	0
1414	0
1539	0
1419	0
1299	0
1179	0
1059	0
939	0
820	0
692	0
564	0
436	0
307	0
187	0
35	0
43	0
250	0
110	0
102	0
94	0
86	0
79	0
199	0
319	0
432	0
560	0
688	0
816	0
944	0
1072	0
1200	0
1328	0
1456	0
1585	0
1721	0
1857	0
2	0
10	0
18	0
25	0
161	0
298	0
305	0
441	0
577	0
713	0
849	0
985	0
1121	0
1257	0
1393	0
2030	0
2022	0
1933	0
389	0
1023	0
1143	0
1262	0
1238	0
1230	0
1222	0
1214	0
1206	0
1198	0
1190	0
1183	0
1303	0
1423	0
2008	0
300	0
172	0
44	0
39	0
159	0
272	0
400	0
528	0
656	0
784	0
912	0
1040	0
1175	0
1295	0
646	0
1681	0
1817	0
2010	0
2027	0
1907	0
78	0
1286	0
28	0
1952	0
762	0
1791	0
1911	0
650	0
658	0
666	0
674	0
682	0
690	0
698	0
706	0
714	0
722	0
730	0
738	0
745	0
881	0
1914	0
1936	0
1971	0
1851	0
1731	0
1611	0
1491	0
1012	0
884	0
756	0
627	0
634	0
509	0
373	0
237	0
70	0
62	0
902	0
1162	0
1170	0
1178	0
1186	0
1194	0
1202	0
1210	0
1218	0
1226	0
1233	0
1369	0
1505	0
1641	0
1777	0
2024	0
515	0
395	0
274	0
282	0
116	0
12	0
1535	0
1655	0
1775	0
1895	0
1407	0
1527	0
1647	0
1767	0
1887	0
52	0
2000	0
95	0
208	0
336	0
464	0
592	0
720	0
1919	0
47	0
167	0
287	0
406	0
398	0
390	0
2016	0
248	0
20	0
1930	0
1938	0
1987	0
1867	0
1747	0
1627	0
1507	0
1387	0
1267	0
1263	0
1382	0
1373	0
1237	0
1101	0
965	0
829	0
693	0
557	0
421	0
285	0
149	0
1960	0
2019	0
1899	0
1778	0
1786	0
23	0
143	0
2011	0
1891	0
1771	0
1652	0
1524	0
1397	0
1261	0
1125	0
989	0
853	0
717	0
581	0
445	0
309	0
173	0
1149	0
1013	0
877	0
741	0
605	0
469	0
333	0
197	0
530	0
538	0
546	0
554	0
562	0
569	0
705	0
841	0
977	0
1113	0
1249	0
1385	0
1521	0
1667	0
1547	0
1427	0
1307	0
1187	0
1067	0
947	0
827	0
707	0
587	0
467	0
347	0
227	0
1274	0
376	0
1992	0
1405	0
1269	0
1132	0
1004	0
876	0
747	0
628	0
500	0
372	0
244	0
108	0
253	0
2005	0
1869	0
1733	0
1597	0
1461	0
1325	0
1189	0
1053	0
918	0
910	0
1661	0
1525	0
1389	0
1253	0
1117	0
981	0
845	0
710	0
702	0
694	0
685	0
549	0
413	0
277	0
141	0
1646	0
1638	0
1630	0
1622	0
1614	0
1606	0
1598	0
1590	0
1582	0
1574	0
1566	0
1558	0
1551	0
1997	0
1861	0
1725	0
1550	0
1963	0
1843	0
1723	0
1603	0
1483	0
1363	0
1243	0
1123	0
1002	0
1010	0
1018	0
2032	0
387	0
268	0
140	0
637	0
501	0
365	0
229	0
1568	0
1696	0
1831	0
1030	0
1569	0
1850	0
1858	0
1866	0
1874	0
1882	0
1890	0
1898	0
352	0
480	0
609	0
744	0
873	0
1009	0
131	0
1026	0
1034	0
1042	0
1049	0
1185	0
1322	0
1330	0
1338	0
1346	0
1355	0
1235	0
1115	0
995	0
875	0
755	0
15	0
1168	0
1296	0
1424	0
1552	0
2013	0
1877	0
1741	0
1605	0
1468	0
1340	0
1212	0
1084	0
956	0
828	0
699	0
579	0
