state	action
0	1
1	0
2	0
3	-1
4	-1
5	-1
6	-1
7	-1
8	0
9	0
10	-1
11	-1
12	-1
13	-1
14	-1
15	0
16	0
17	0
18	-1
19	-1
20	-1
21	-1
22	0
23	0
24	0
25	0
26	-1
27	-1
28	-1
29	-1
30	-1
31	0
32	0
33	0
34	-1
35	-1
36	-1
37	-1
38	-1
39	1
40	0
41	0
42	-1
43	-1
44	-1
45	-1
46	-1
47	1
48	0
49	0
50	-1
51	-1
52	-1
53	0
54	1
55	0
56	0
57	0
58	-1
59	1
60	1
61	1
62	1
63	0
64	0
65	-1
66	1
67	1
68	1
69	1
70	1
71	0
72	0
73	0
74	0
75	1
76	1
77	1
78	1
79	-1
80	0
81	0
82	1
83	0
84	1
85	1
86	0
87	0
88	0
89	0
90	1
91	1
92	1
93	0
94	1
95	0
96	0
97	0
98	1
99	1
100	1
101	1
102	1
103	0
104	0
105	0
106	0
107	1
108	1
109	1
110	1
111	0
112	0
113	0
114	1
115	1
116	1
117	1
118	0
119	0
120	1
121	1
122	1
123	1
124	1
125	0
126	0
127	-1
128	0
129	1
130	0
131	-1
132	-1
133	-1
134	-1
135	-1
136	0
137	0
138	-1
139	-1
140	-1
141	-1
142	-1
143	-1
144	0
145	0
146	1
147	-1
148	-1
149	0
150	0
151	-1
152	1
153	0
154	-1
155	-1
156	-1
157	-1
158	-1
159	0
160	0
161	0
162	-1
163	-1
164	-1
165	-1
166	-1
167	0
168	0
169	0
170	-1
171	0
172	-1
173	-1
174	0
175	1
176	0
177	0
178	-1
179	1
180	-1
181	0
182	-1
183	0
184	0
185	0
186	-1
187	1
188	-1
189	1
190	1
191	0
192	0
193	-1
194	1
195	1
196	1
197	1
198	1
199	0
200	0
201	-1
202	0
203	0
204	1
205	1
206	1
207	0
208	0
209	-1
210	-1
211	0
212	1
213	1
214	1
215	0
216	0
217	1
218	0
219	1
220	1
221	0
222	1
223	0
224	0
225	0
226	1
227	1
228	1
229	1
230	1
231	0
232	0
233	0
234	1
235	1
236	1
237	1
238	1
239	0
240	0
241	0
242	1
243	1
244	1
245	1
246	1
247	0
248	1
249	1
250	1
251	1
252	1
253	0
254	0
255	-1
256	-1
257	0
258	0
259	0
260	-1
261	-1
262	-1
263	-1
264	0
265	0
266	-1
267	0
268	-1
269	-1
270	-1
271	-1
272	0
273	0
274	-1
275	-1
276	-1
277	-1
278	-1
279	0
280	1
281	0
282	-1
283	-1
284	-1
285	-1
286	0
287	-1
288	0
289	0
290	-1
291	1
292	1
293	-1
294	-1
295	0
296	0
297	0
298	-1
299	-1
300	-1
301	-1
302	-1
303	1
304	0
305	0
306	-1
307	0
308	-1
309	0
310	0
311	1
312	0
313	0
314	-1
315	0
316	0
317	-1
318	-1
319	0
320	0
321	0
322	1
323	1
324	0
325	1
326	1
327	0
328	0
329	-1
330	1
331	1
332	1
333	1
334	1
335	0
336	0
337	0
338	1
339	0
340	1
341	1
342	1
343	0
344	0
345	0
346	1
347	1
348	1
349	1
350	1
351	0
352	0
353	0
354	0
355	0
356	1
357	1
358	1
359	0
360	0
361	0
362	1
363	1
364	1
365	1
366	0
367	0
368	1
369	0
370	-1
371	1
372	1
373	0
374	0
375	0
376	0
377	1
378	1
379	1
380	1
381	1
382	0
383	0
384	-1
385	0
386	0
387	-1
388	0
389	-1
390	-1
391	0
392	0
393	0
394	0
395	-1
396	0
397	-1
398	-1
399	1
400	-1
401	0
402	0
403	-1
404	-1
405	-1
406	0
407	0
408	1
409	0
410	-1
411	-1
412	-1
413	-1
414	-1
415	0
416	1
417	0
418	-1
419	-1
420	1
421	-1
422	-1
423	-1
424	0
425	0
426	-1
427	-1
428	-1
429	0
430	-1
431	1
432	0
433	0
434	-1
435	-1
436	-1
437	0
438	1
439	1
440	0
441	0
442	0
443	0
444	1
445	0
446	1
447	1
448	0
449	-1
450	-1
451	1
452	1
453	0
454	1
455	0
456	0
457	-1
458	0
459	1
460	1
461	0
462	1
463	0
464	0
465	1
466	0
467	0
468	1
469	0
470	1
471	0
472	-1
473	0
474	1
475	0
476	1
477	1
478	1
479	0
480	1
481	1
482	1
483	1
484	0
485	1
486	0
487	0
488	0
489	1
490	1
491	1
492	1
493	1
494	0
495	0
496	0
497	1
498	1
499	1
500	1
501	0
502	0
503	0
504	1
505	0
506	1
507	1
508	1
509	-1
510	0
511	0
512	-1
513	0
514	0
515	0
516	-1
517	0
518	-1
519	-1
520	0
521	-1
522	0
523	-1
524	-1
525	0
526	-1
527	-1
528	-1
529	0
530	0
531	-1
532	-1
533	0
534	-1
535	-1
536	-1
537	0
538	-1
539	-1
540	-1
541	0
542	-1
543	-1
544	1
545	0
546	-1
547	-1
548	-1
549	-1
550	0
551	-1
552	1
553	0
554	-1
555	-1
556	-1
557	0
558	-1
559	0
560	0
561	0
562	-1
563	-1
564	0
565	-1
566	0
567	-1
568	0
569	0
570	-1
571	1
572	0
573	1
574	-1
575	1
576	0
577	-1
578	1
579	1
580	0
581	1
582	1
583	1
584	0
585	1
586	1
587	1
588	0
589	-1
590	1
591	0
592	0
593	1
594	0
595	1
596	0
597	1
598	1
599	0
600	1
601	1
602	1
603	0
604	1
605	1
606	1
607	0
608	1
609	1
610	1
611	0
612	1
613	1
614	1
615	0
616	0
617	0
618	0
619	1
620	1
621	0
622	0
623	0
624	0
625	1
626	1
627	1
628	0
629	0
630	0
631	0
632	0
633	1
634	1
635	1
636	0
637	0
638	0
639	0
640	-1
641	0
642	0
643	-1
644	-1
645	-1
646	-1
647	0
648	0
649	0
650	0
651	-1
652	-1
653	0
654	-1
655	0
656	-1
657	-1
658	1
659	-1
660	-1
661	-1
662	-1
663	-1
664	0
665	1
666	1
667	-1
668	-1
669	-1
670	-1
671	0
672	-1
673	0
674	0
675	-1
676	-1
677	-1
678	0
679	-1
680	1
681	0
682	-1
683	-1
684	-1
685	0
686	-1
687	0
688	1
689	0
690	-1
691	-1
692	-1
693	-1
694	0
695	0
696	0
697	-1
698	-1
699	0
700	0
701	1
702	0
703	0
704	0
705	-1
706	0
707	1
708	1
709	0
710	0
711	1
712	0
713	1
714	1
715	0
716	0
717	1
718	1
719	1
720	-1
721	1
722	0
723	1
724	1
725	0
726	0
727	0
728	0
729	1
730	1
731	1
732	1
733	1
734	1
735	0
736	0
737	1
738	1
739	1
740	1
741	1
742	1
743	0
744	1
745	0
746	0
747	0
748	0
749	1
750	0
751	0
752	0
753	0
754	1
755	0
756	0
757	0
758	0
759	0
760	0
761	1
762	1
763	0
764	0
765	-1
766	0
767	0
768	0
769	0
770	0
771	0
772	-1
773	-1
774	-1
775	-1
776	-1
777	0
778	0
779	-1
780	-1
781	0
782	-1
783	-1
784	-1
785	0
786	0
787	1
788	-1
789	-1
790	-1
791	-1
792	-1
793	0
794	0
795	-1
796	-1
797	-1
798	-1
799	-1
800	-1
801	-1
802	0
803	-1
804	-1
805	-1
806	0
807	-1
808	0
809	1
810	-1
811	-1
812	0
813	0
814	1
815	-1
816	0
817	0
818	-1
819	-1
820	-1
821	1
822	0
823	-1
824	1
825	-1
826	0
827	1
828	-1
829	-1
830	1
831	-1
832	0
833	1
834	1
835	-1
836	-1
837	1
838	-1
839	0
840	-1
841	-1
842	1
843	1
844	1
845	-1
846	1
847	1
848	0
849	-1
850	1
851	1
852	0
853	1
854	1
855	0
856	1
857	1
858	1
859	1
860	1
861	1
862	1
863	-1
864	1
865	1
866	1
867	1
868	0
869	0
870	0
871	1
872	0
873	0
874	1
875	0
876	1
877	1
878	0
879	1
880	0
881	0
882	0
883	0
884	-1
885	0
886	0
887	0
888	0
889	0
890	1
891	0
892	-1
893	-1
894	0
895	0
896	0
897	0
898	0
899	1
900	-1
901	-1
902	-1
903	-1
904	-1
905	0
906	0
907	1
908	0
909	-1
910	-1
911	-1
912	0
913	0
914	0
915	-1
916	0
917	-1
918	-1
919	-1
920	1
921	0
922	1
923	-1
924	-1
925	-1
926	-1
927	-1
928	0
929	-1
930	1
931	-1
932	-1
933	-1
934	0
935	-1
936	-1
937	-1
938	0
939	-1
940	-1
941	1
942	-1
943	0
944	-1
945	0
946	-1
947	0
948	-1
949	-1
950	0
951	-1
952	-1
953	-1
954	1
955	-1
956	0
957	1
958	0
959	-1
960	0
961	1
962	0
963	1
964	0
965	0
966	1
967	-1
968	1
969	1
970	1
971	0
972	0
973	1
974	0
975	1
976	1
977	-1
978	-1
979	1
980	0
981	0
982	1
983	1
984	0
985	0
986	0
987	1
988	1
989	0
990	0
991	0
992	1
993	1
994	1
995	1
996	1
997	0
998	-1
999	0
1000	0
1001	0
1002	-1
1003	0
1004	1
1005	1
1006	0
1007	-1
1008	1
1009	0
1010	-1
1011	0
1012	1
1013	0
1014	-1
1015	0
1016	1
1017	-1
1018	1
1019	0
1020	0
1021	1
1022	0
1023	0
1024	-1
1025	0
1026	0
1027	-1
1028	0
1029	-1
1030	-1
1031	-1
1032	-1
1033	0
1034	1
1035	1
1036	0
1037	-1
1038	-1
1039	-1
1040	0
1041	0
1042	1
1043	0
1044	-1
1045	0
1046	-1
1047	-1
1048	-1
1049	-1
1050	0
1051	0
1052	1
1053	0
1054	0
1055	-1
1056	-1
1057	-1
1058	-1
1059	0
1060	-1
1061	0
1062	-1
1063	-1
1064	-1
1065	-1
1066	0
1067	1
1068	-1
1069	-1
1070	0
1071	1
1072	-1
1073	0
1074	0
1075	0
1076	0
1077	0
1078	-1
1079	0
1080	-1
1081	1
1082	1
1083	0
1084	0
1085	-1
1086	0
1087	-1
1088	0
1089	1
1090	0
1091	1
1092	-1
1093	0
1094	-1
1095	-1
1096	1
1097	1
1098	1
1099	0
1100	0
1101	0
1102	-1
1103	0
1104	1
1105	1
1106	1
1107	1
1108	0
1109	-1
1110	0
1111	1
1112	1
1113	0
1114	1
1115	0
1116	1
1117	1
1118	0
1119	0
1120	1
1121	0
1122	1
1123	1
1124	0
1125	-1
1126	-1
1127	-1
1128	0
1129	-1
1130	1
1131	1
1132	1
1133	1
1134	0
1135	0
1136	0
1137	0
1138	-1
1139	0
1140	1
1141	-1
1142	0
1143	0
1144	1
1145	0
1146	1
1147	0
1148	1
1149	0
1150	-1
1151	0
1152	-1
1153	0
1154	0
1155	1
1156	0
1157	0
1158	-1
1159	-1
